batter,season,runs_batter,balls_faced,is_wicket,is_four,is_six,strike_rate,batting_average
A Ashish Reddy,2012,35,29,4,3,1,120.6896551724138,8.75
A Ashish Reddy,2013,125,89,6,8,5,140.4494382022472,20.833333333333332
A Ashish Reddy,2015,73,46,3,3,5,158.69565217391303,24.333333333333332
A Ashish Reddy,2016,47,29,2,2,4,162.06896551724137,23.5
A Badoni,2022,161,130,9,11,7,123.84615384615385,17.88888888888889
A Badoni,2023,238,172,9,13,12,138.37209302325581,26.444444444444443
A Badoni,2024,235,171,8,22,5,137.4269005847953,29.375
A Badoni,2025,329,222,10,27,14,148.19819819819818,32.9
A Badoni,2026,113,81,5,13,3,139.50617283950618,22.6
A Chandila,2012,0,1,1,0,0,0.0,0.0
A Chandila,2013,4,6,0,0,0,66.66666666666666,4.0
A Chopra,2007/08,42,52,4,5,0,80.76923076923077,10.5
A Chopra,2009,11,19,1,2,0,57.89473684210527,11.0
A Choudhary,2017,25,20,2,1,1,125.0,12.5
A Dananjaya,2018,4,5,0,0,0,80.0,4.0
A Flintoff,2009,62,53,2,5,2,116.98113207547169,31.0
A Kamboj,2024,2,2,0,0,0,100.0,2.0
A Kamboj,2025,14,12,2,2,0,116.66666666666667,7.0
A Kamboj,2026,26,22,0,2,1,118.18181818181819,26.0
A Kumble,2009,8,9,1,1,0,88.88888888888889,8.0
A Kumble,2007/08,13,17,1,1,0,76.47058823529412,13.0
A Kumble,2009,8,10,0,1,0,80.0,8.0
A Kumble,2009/10,6,11,0,0,0,54.54545454545454,6.0
A Manohar,2022,108,75,6,14,3,144.0,18.0
A Manohar,2023,114,83,6,6,7,137.34939759036143,19.0
A Manohar,2024,9,16,2,1,0,56.25,4.5
A Manohar,2025,61,61,5,2,4,100.0,12.2
A Mhatre,2025,240,127,7,31,11,188.9763779527559,34.285714285714285
A Mhatre,2026,171,100,4,15,11,171.0,42.75
A Mishra,2009,13,15,2,1,1,86.66666666666667,6.5
A Mishra,2011,29,21,3,4,0,138.0952380952381,9.666666666666666
A Mishra,2012,16,20,3,1,0,80.0,5.333333333333333
A Mishra,2013,89,96,3,9,0,92.70833333333334,29.666666666666668
A Mishra,2014,4,7,1,0,0,57.14285714285714,4.0
A Mishra,2015,8,12,2,0,0,66.66666666666666,4.0
A Mishra,2016,4,14,2,0,0,28.57142857142857,2.0
A Mishra,2017,49,52,1,2,2,94.23076923076923,49.0
A Mishra,2018,1,2,0,0,0,50.0,1.0
A Mishra,2023,19,30,1,2,0,63.33333333333333,19.0
A Mishra,2007/08,37,42,4,3,0,88.09523809523809,9.25
A Mishra,2009,13,5,0,1,1,260.0,13.0
A Mishra,2009/10,39,51,4,1,0,76.47058823529412,9.75
A Mishra,2011,39,28,3,5,1,139.28571428571428,13.0
A Mishra,2019,21,24,2,2,0,87.5,10.5
A Mithun,2011,27,18,2,3,1,150.0,13.5
A Mithun,2013,2,2,1,0,0,100.0,2.0
A Mithun,2009/10,5,4,1,1,0,125.0,5.0
A Mithun,2011,0,2,1,0,0,0.0,0.0
A Mukund,2013,19,21,1,1,0,90.47619047619048,19.0
A Mukund,2007/08,0,1,1,0,0,0.0,0.0
A Nehra,2009,1,1,0,0,0,100.0,1.0
A Nehra,2012,11,12,1,1,0,91.66666666666666,11.0
A Nehra,2013,1,8,4,0,0,12.5,0.25
A Nehra,2015,1,7,2,0,0,14.285714285714285,0.5
A Nehra,2016,1,1,0,0,0,100.0,1.0
A Nehra,2007/08,3,13,0,0,0,23.076923076923077,3.0
A Nehra,2009/10,23,20,1,2,1,114.99999999999999,23.0
A Nortje,2022,1,6,0,0,0,16.666666666666664,1.0
A Nortje,2023,37,29,2,6,0,127.58620689655173,18.5
A Nortje,2024,4,8,2,0,0,50.0,2.0
A Nortje,2026,0,1,1,0,0,0.0,0.0
A Nortje,2020/21,7,6,1,0,0,116.66666666666667,7.0
A Raghuvanshi,2024,163,105,7,16,8,155.23809523809524,23.285714285714285
A Raghuvanshi,2025,300,215,9,30,8,139.53488372093022,33.333333333333336
A Raghuvanshi,2026,182,117,4,20,7,155.55555555555557,45.5
A Singh,2011,1,2,1,0,0,50.0,1.0
A Singh,2012,0,3,1,0,0,0.0,0.0
A Singh,2009,1,3,1,0,0,33.33333333333333,1.0
A Singh,2011,0,2,1,0,0,0.0,0.0
A Symonds,2009,157,95,4,8,8,165.26315789473685,39.25
A Symonds,2011,44,64,3,2,0,68.75,14.666666666666666
A Symonds,2007/08,161,105,2,15,9,153.33333333333334,80.5
A Symonds,2009,92,71,4,7,3,129.5774647887324,23.0
A Symonds,2009/10,429,341,13,35,18,125.80645161290323,33.0
A Symonds,2011,91,74,0,7,3,122.97297297297298,91.0
A Tomar,2022,4,8,1,1,0,50.0,4.0
A Uniyal,2009/10,4,7,1,0,0,57.14285714285714,4.0
A Zampa,2016,0,1,1,0,0,0.0,0.0
A Zampa,2017,5,7,1,1,0,71.42857142857143,5.0
A Zampa,2023,10,16,3,0,0,62.5,3.3333333333333335
AA Bilakhia,2009,35,46,2,3,0,76.08695652173914,17.5
AA Bilakhia,2009,32,35,2,2,0,91.42857142857143,16.0
AA Bilakhia,2009/10,2,4,1,0,0,50.0,2.0
AA Chavan,2011,1,3,0,0,0,33.33333333333333,1.0
AA Chavan,2012,11,8,1,2,0,137.5,11.0
AA Jhunjhunwala,2011,10,18,2,2,0,55.55555555555556,5.0
AA Jhunjhunwala,2012,24,26,2,1,1,92.3076923076923,12.0
AA Jhunjhunwala,2009/10,183,166,10,16,4,110.24096385542168,18.3
AA Kulkarni,2024,9,8,2,2,0,112.5,4.5
AA Noffke,2007/08,9,10,1,1,0,90.0,9.0
AB Agarkar,2009,45,36,1,3,2,125.0,45.0
AB Agarkar,2011,7,6,0,1,0,116.66666666666667,7.0
AB Agarkar,2013,12,16,1,0,0,75.0,12.0
AB Agarkar,2007/08,54,46,4,5,2,117.3913043478261,13.5
AB Agarkar,2009,21,21,1,0,1,100.0,21.0
AB Agarkar,2009/10,40,29,1,4,0,137.93103448275863,40.0
AB Barath,2009/10,42,42,2,5,1,100.0,21.0
AB Dinda,2009,0,1,1,0,0,0.0,0.0
AB Dinda,2012,2,5,0,0,0,40.0,2.0
AB Dinda,2013,9,11,2,1,0,81.81818181818183,4.5
AB Dinda,2014,4,12,1,0,0,33.33333333333333,4.0
AB Dinda,2017,7,7,1,1,0,100.0,7.0
AB Dinda,2007/08,2,4,1,0,0,50.0,2.0
AB Dinda,2009,2,2,1,0,0,100.0,2.0
AB Dinda,2009/10,0,1,1,0,0,0.0,0.0
AB Dinda,2011,0,5,1,0,0,0.0,0.0
AB McDonald,2011,8,7,1,0,0,114.28571428571428,8.0
AB McDonald,2012,47,35,2,6,2,134.28571428571428,23.5
AB McDonald,2013,0,2,1,0,0,0.0,0.0
AB McDonald,2009,3,4,1,0,0,75.0,3.0
AB McDonald,2009/10,65,52,0,3,2,125.0,65.0
AB de Villiers,2009,200,167,5,22,3,119.76047904191616,40.0
AB de Villiers,2011,150,114,5,11,6,131.57894736842107,30.0
AB de Villiers,2012,319,198,8,26,15,161.11111111111111,39.875
AB de Villiers,2013,373,223,10,34,17,167.2645739910314,37.3
AB de Villiers,2014,395,249,11,26,24,158.63453815261045,35.90909090909091
AB de Villiers,2015,513,293,8,60,22,175.08532423208192,64.125
AB de Villiers,2016,687,407,13,57,37,168.7960687960688,52.84615384615385
AB de Villiers,2017,216,163,7,12,16,132.51533742331287,30.857142857142858
AB de Villiers,2018,480,275,9,39,30,174.54545454545453,53.333333333333336
AB de Villiers,2019,232,148,5,17,13,156.75675675675674,46.4
AB de Villiers,2021,188,145,9,10,11,129.65517241379308,20.88888888888889
AB de Villiers,2007/08,95,98,4,5,1,96.93877551020408,23.75
AB de Villiers,2009,265,188,4,17,9,140.95744680851064,66.25
AB de Villiers,2009/10,111,119,7,7,0,93.27731092436974,15.857142857142858
AB de Villiers,2011,162,129,3,10,8,125.5813953488372,54.0
AB de Villiers,2019,210,139,5,14,13,151.0791366906475,42.0
AB de Villiers,2020/21,460,290,10,34,23,158.6206896551724,46.0
AB de Villiers,2021,125,66,2,13,5,189.3939393939394,62.5
AC Blizzard,2011,120,87,6,21,2,137.93103448275863,20.0
AC Blizzard,2012,0,3,1,0,0,0.0,0.0
AC Gilchrist,2009,276,193,10,31,16,143.00518134715026,27.6
AC Gilchrist,2011,232,182,9,22,13,127.47252747252746,25.77777777777778
AC Gilchrist,2012,172,143,4,21,4,120.27972027972027,43.0
AC Gilchrist,2013,294,229,12,41,6,128.38427947598254,24.5
AC Gilchrist,2007/08,436,318,13,51,19,137.1069182389937,33.53846153846154
AC Gilchrist,2009,219,132,6,23,13,165.9090909090909,36.5
AC Gilchrist,2009/10,289,185,17,31,16,156.21621621621622,17.0
AC Gilchrist,2011,151,113,5,19,5,133.6283185840708,30.2
AC Thomas,2012,19,15,2,1,1,126.66666666666666,9.5
AC Thomas,2011,1,4,0,0,0,25.0,1.0
AC Voges,2009/10,181,143,6,15,3,126.57342657342659,30.166666666666668
AD Hales,2018,148,118,6,13,6,125.42372881355932,24.666666666666668
AD Mascarenhas,2009,8,8,1,1,0,100.0,8.0
AD Mascarenhas,2012,14,16,3,1,0,87.5,4.666666666666667
AD Mascarenhas,2013,5,5,0,0,0,100.0,5.0
AD Mascarenhas,2007/08,9,8,1,0,1,112.5,9.0
AD Mascarenhas,2009,31,31,3,3,0,100.0,10.333333333333334
AD Mascarenhas,2009/10,12,10,2,0,0,120.0,6.0
AD Mathews,2009,16,13,1,2,0,123.07692307692308,16.0
